open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735689600000000,93576.00000000,94509.42000000,93489.03000000,94401.14000000,755.99010000,1735693199999999,71068810.55946380,93525,421.08319000,39596777.77992590,0
1735693200000000,94401.13000000,94408.72000000,93578.77000000,93607.74000000,586.53456000,1735696799999999,55096606.90660080,79943,257.42023000,24187938.32586320,0
1735696800000000,93607.74000000,94105.12000000,93594.56000000,94098.91000000,276.78045000,1735700399999999,25974090.63580940,55078,185.35204000,17393770.43224800,0
1735700400000000,94098.90000000,94098.91000000,93728.22000000,93838.04000000,220.99302000,1735703999999999,20748041.00640550,35001,119.92140000,11258665.18270000,0
1735704000000000,93838.04000000,93838.04000000,93500.00000000,93553.91000000,279.46909000,1735707599999999,26179056.12514950,38597,132.98547000,12460624.76478960,0
1735707600000000,93553.91000000,93937.19000000,93547.40000000,93792.02000000,209.17940000,1735711199999999,19610790.85231790,33839,123.21818000,11551575.02818960,0
1735711200000000,93792.02000000,93792.02000000,93568.38000000,93757.58000000,272.27846000,1735714799999999,25503575.86728390,30066,165.90563000,15539305.39265650,0
1735714800000000,93757.57000000,93800.00000000,93664.08000000,93684.10000000,197.93458000,1735718399999999,18551648.86511050,22891,70.38945000,6597697.41253020,0
1735718400000000,93684.11000000,93756.02000000,93304.00000000,93428.46000000,481.71173000,1735721999999999,45055029.98234460,51464,162.13835000,15164799.96863530,0
1735722000000000,93428.47000000,93486.29000000,92888.00000000,93413.06000000,798.49773000,1735725599999999,74409822.91904100,93479,404.55111000,37715564.84403890,0
1735725600000000,93413.07000000,93536.75000000,93284.00000000,93326.23000000,265.55192000,1735729199999999,24807034.66581490,49313,118.86289000,11103987.67129100,0
1735729200000000,93326.24000000,93705.08000000,93200.00000000,93444.64000000,321.72225000,1735732799999999,30064365.13558260,58142,186.91506000,17468842.18761510,0
1735732800000000,93444.65000000,93972.00000000,93407.07000000,93820.76000000,499.35613000,1735736399999999,46801447.58169580,58928,342.36500000,32089241.73441800,0
1735736400000000,93820.75000000,94058.79000000,93600.28000000,94031.76000000,340.36387000,1735739999999999,31931359.70163770,64479,197.44439000,18528035.52376680,0
1735740000000000,94031.77000000,94450.85000000,93671.48000000,94175.89000000,751.90697000,1735743599999999,70772885.89982150,124282,412.93164000,38871686.93313520,0
1735743600000000,94175.89000000,94500.00000000,93900.00000000,94432.94000000,486.08395000,1735747199999999,45796540.67623830,77490,234.75820000,22120189.22596430,0
1735747200000000,94432.94000000,94492.00000000,93922.00000000,94090.49000000,580.27384000,1735750799999999,54656651.52477610,87522,287.20750000,27055176.30143840,0
1735750800000000,94090.50000000,94189.16000000,93760.93000000,94143.85000000,303.86795000,1735754399999999,28553055.20116110,61419,151.00514000,14189597.14008780,0
1735754400000000,94143.84000000,94380.44000000,93936.44000000,94340.06000000,291.78831000,1735757999999999,27491847.58286950,54037,161.74273000,15240534.66947610,0
1735758000000000,94340.06000000,94823.75000000,94148.34000000,94627.07000000,545.12372000,1735761599999999,51502887.18753520,85002,269.56099000,25473062.42200050,0
1735761600000000,94627.08000000,94852.70000000,94579.83000000,94786.23000000,424.42468000,1735765199999999,40210106.48707660,59241,191.94445000,18186262.45167470,0
1735765200000000,94786.23000000,95151.15000000,94687.87000000,94978.48000000,636.81156000,1735768799999999,60425238.60044420,85265,363.03885000,34450077.64607020,0
1735768800000000,94978.48000000,94997.32000000,94685.81000000,94802.98000000,409.77402000,1735772399999999,38856353.10856900,49494,186.53449000,17687335.09550420,0
