open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735689600000000,189.31000000,192.66000000,189.08000000,192.54000000,109512.36400000,1735693199999999,20911201.78025000,46813,62624.92700000,11958559.88245000,0
1735693200000000,192.54000000,192.64000000,190.39000000,190.70000000,66529.12600000,1735696799999999,12739027.08647000,34908,33305.16000000,6377631.08505000,0
1735696800000000,190.70000000,192.04000000,190.44000000,191.59000000,65814.34700000,1735700399999999,12585213.50726000,31017,39014.18800000,7459108.54962000,0
1735700400000000,191.59000000,191.59000000,190.04000000,190.43000000,58528.04200000,1735703999999999,11163173.28736000,23586,29108.65300000,5551073.85715000,0
1735704000000000,190.42000000,190.43000000,189.32000000,189.47000000,70522.36800000,1735707599999999,13382958.56694000,28316,40432.14800000,7672097.01871000,0
1735707600000000,189.48000000,190.62000000,189.35000000,190.15000000,44126.51700000,1735711199999999,8392411.88882000,22955,26535.76000000,5046561.54777000,0
1735711200000000,190.15000000,190.31000000,189.40000000,190.30000000,37963.87400000,1735714799999999,7208124.73206000,19969,21782.03800000,4135292.60265000,0
1735714800000000,190.29000000,190.35000000,189.70000000,190.06000000,47757.37900000,1735718399999999,9074100.18180000,20177,28403.24700000,5395971.76075000,0
1735718400000000,190.06000000,190.74000000,189.30000000,189.40000000,57206.08900000,1735721999999999,10866368.94266000,27858,36413.21300000,6917214.12386000,0
1735722000000000,189.40000000,189.76000000,188.00000000,189.18000000,90289.82900000,1735725599999999,17037618.58189000,40169,36102.59100000,6813051.50433000,0
1735725600000000,189.19000000,191.03000000,189.17000000,190.24000000,71994.80700000,1735729199999999,13692628.89610000,32419,44579.94300000,8475303.07392000,0
1735729200000000,190.25000000,191.86000000,189.89000000,191.36000000,63070.21700000,1735732799999999,12047959.02390000,35875,36700.11800000,7011275.87362000,0
1735732800000000,191.35000000,191.75000000,190.42000000,190.95000000,85511.63100000,1735736399999999,16343511.41860000,34862,42969.52800000,8212956.62400000,0
1735736400000000,190.94000000,191.29000000,189.59000000,190.25000000,79164.61500000,1735739999999999,15052927.06472000,38545,37301.01300000,7092672.19877000,0
1735740000000000,190.24000000,191.48000000,189.14000000,190.88000000,68958.64400000,1735743599999999,13133183.70063000,46941,33981.01800000,6471993.46626000,0
1735743600000000,190.88000000,192.15000000,189.98000000,191.91000000,69944.06900000,1735747199999999,13366573.85865000,41646,38143.10200000,7290881.08893000,0
1735747200000000,191.91000000,192.25000000,190.08000000,190.51000000,61361.76700000,1735750799999999,11723044.84762000,43082,26193.62200000,5004856.30332000,0
